Sr_No,Category,Date,Subject,Status
"3.8.7","ADMINISTRATION","8.10.2007","Excise and custom duty exemption","Pending"
"3.8.8","ADMINISTRATION","31.12.2007","Delegation of authority to Member (Fin) for signing Central Excise and Customs Duty Exemption Certificate in respect of ADB/WB assisted projects under Excise notification no.108/95-CE dated 28.8.1995 and Custom notification No.8/97 dated 11.11.1997.","Pending"
"3.8.9","ADMINISTRATION","05.02.2010","Exemption from Excise Duty under the notification No.108/95 CE dated 28.8.1995 - Previous policy circular No.05/2002 dated 31.5.2002 and 10/2002 dated 19.6.2002.","Pending"
"4.1","ADMINISTRATION","26.08.2002","Release of advertisement for tender notices of pre-construction activities","Pending"
"4.10","ADMINISTRATION","12.04.2006","Informatory signboards at project site.","Pending"
"4.11","ADMINISTRATION","28.07.2008","Procedure for release of tender notices/ recruitment advertisements/ display advertisements at the time of inauguration or foundation laying ceremony of NHAI projects etc.","Pending"
"4.12","ADMINISTRATION","11.12.2012","Guidelines for expenditure on inauguaration/bhoomi Pujan/foundation stone laying/ any other ceremony-reg","Pending"
"4.13","ADMINISTRATION","20.02.2013","Delegation of Powers to Regional Officers with repsect to expenditure on inauguration/ bhoomi pujan/ foundation stone laying/ any other ceremony.","Pending"
"4.14","ADMINISTRATION","3.9.2013","Procedure and delegation of powers for release of tender notices/ recruitment advertisements/ display advefrtisemetns on inauguaration or foundation stone laying or bhoomi pujan ceremony of NHAI projects etc.","Pending"
"4.15","ADMINISTRATION","08.12.2015","Providing Road Boundary Stones reg.","Pending"
"4.16","ADMINISTRATION","18.12.2015","Inauguration/bhoomi Pujan/Foundation Stone laying/ any other ceremony in respect of National Highway works.","Pending"
"4.17","ADMINISTRATION","16.02.2016","Use of NHAI Tag Line on Publicity material","Pending"
"4.18","ADMINISTRATION","29.02.2016","Revision in Delegation of Powers for release of Tender Notice/Recruitment Advertisements","Pending"
"4.19","ADMINISTRATION","27.10.2016","Iauguration/Bhoomi Pujan/Foundation Stone Laying  / any other ceremony in respect of National Highways works","Pending"
"4.2","ADMINISTRATION","04.06.2003","Inauguration/bhoomi Pujan/Foundation Stone laying/ any other ceremony in respect of National Highway works.","Pending"
"4.20","ADMINISTRATION","23.05.2017","Publication of Advertisements on the occasion of Foundation Stone Laying/ Inauguration Functions of NHAI Projects in the Newspapers/ Media - reg.","Pending"
"4.21","ADMINISTRATION","11.10.2017","Allocation of work amongst empanelled advertising agencies for release of Display Advertisement","Pending"
"4.22","ADMINISTRATION","14.11.2017","Allocation of work amongst empanelled advertising agencies for release of display advertisements","Pending"
"4.23","ADMINISTRATION","09.08.2018","Publishing of Tender Notices in Newspapers-reg.","Pending"
"4.24","ADMINISTRATION","01.08.2019","Policy guidelines for release of Land Acquisition Notifications in the newspapers.","Pending"
"4.25","ADMINISTRATION","01.10.2019","Policy Guidelines and Delegation of Powers for release of Advertisements; Notifications; Notices and other Media Related Activities.","Pending"
"4.26","ADMINISTRATION","23.11.2021","Policy Guidelines for release of advertisements; notifications; notices and other media related activities- reg.","Pending"
"4.27","ADMINISTRATION","01.10.2022","Policy Guidelines for release of Advertisements; Notifications; Notices and other media related activities - reg.","Pending"
"4.28","ADMINISTRATION","05.04.2023","Standard Operating Procedure (SOP): Foundation Stone Laying/Inauguration of National Highways projects by Hon’ble Prime Minister-reg.","Pending"
"4.29","ADMINISTRATION","24.07.2023","“एनएचएआई का जनसंपर्क मैनुअल - प्रेस को हैंडल करने के लिए दिशानिर्देश""।","Pending"
"4.3","ADMINISTRATION","11.06.2004","Hoardings (Sing Boards) at Project Sites","Pending"
"4.30","ADMINISTRATION","31.10.2023","मानक संचालन प्रक्रिया (एसओपी) का परिशिष्ट: माननीय प्रधान मंत्री द्वारा राष्ट्रीय राजमार्ग परियोजनाओं के शिलान्यास/उद्घाटन के संबंध में।","Pending"
"4.31","ADMINISTRATION","26.12.2023","Policy Guidelines for release of Advertisements; Notifications; Notices and other Media Related Activities – reg.","Pending"
"4.32","ADMINISTRATION","13.03.2024","Policy Guidelines for Installation of NHAI Logo on the Fascia of RE Wall and Boundary Wall in NHAI Projects -reg.","Pending"
"4.33","ADMINISTRATION","10.06.2024","Empanelment of Advertising Agencies with Regional Offices","Pending"
"4.34","ADMINISTRATION","03.10.2024","Addendum to Standard Operating Procedure (SOP): Foundation Stone Laying/ Inauguration of National Highways Projects by Hon’ble Prime Minister","Pending"
"4.35","ADMINISTRATION","07.02.2025","Creatives for display at the Fascia below NH Structures - reg.","Pending"
"4.4","ADMINISTRATION","04.01.2005","Use of language on kilometer stones and sign boards on National Highways-reg.","Pending"
"4.5","ADMINISTRATION","05.05.2005","Hoardings (Sing Boards) at Project Sites","Pending"
"4.6","ADMINISTRATION","06.12.2005","Display Boards on works on National Highways.","Pending"
"4.7","ADMINISTRATION","02.02.2006","Photographs of project site.","Pending"
"4.8","ADMINISTRATION","03.02.2006","Details of award of tenders/contracts publishing on websites/ bulletins.","Pending"
"4.9","ADMINISTRATION","23.02.2006","Signboards on National Highways","Pending"
"5.1","ADMINISTRATION","18.12.2002","Providing brand names/specific companies for procurement purposes.","Pending"
"5.10","ADMINISTRATION","25.04.2022","Modification in Integrity Pact Regarding","Pending"
"5.11","ADMINISTRATION","13.09.2023","सतर्कता नीतियों के संबंध में।","Pending"
"5.12","ADMINISTRATION","18.03.2025","Incorporation of Names of Independent External Monitors (IEMs) in NITs -reg.","Pending"
"5.2","ADMINISTRATION","13.01.2004","Improving Vigilance Administration: increasing transparency in Proucurement/Sale etc.","Pending"
"5.3","ADMINISTRATION","27.02.2008","Improving vigilance administration by leveraging technology; increasing transparency through effective use of websites in discharge of regulatory;enforcement and other functions of Government organisations- Implementation of system of e-payments through Electronic Transfer.","Pending"
"5.4","ADMINISTRATION","20.07.2012","Action Plan to Mitigate Potential areas of corruption-Directions of Vigilance Section of MoRT&H regarding issuance of NOC for Retail Outlets etc.","Pending"
"5.5","ADMINISTRATION","20.07.2012","Action Plan to Mitigate Potential areas of corruption-Directions of Vigilance Section of MoRT&H regarding processing of bills/ payment proposals","Pending"
"5.6","ADMINISTRATION","27.08.2012","Procedure for handling anonymous/Psuedonymous complaints","Pending"
"5.7","ADMINISTRATION","28.01.2013","Adoption of Integrity Pact (IP0 for NHAI projects-reg.","Pending"
"5.8","ADMINISTRATION","29.12.2020","Adoption of revised Integrity Pact (IP) for NHAI Projects reg.","Pending"
"5.9","ADMINISTRATION","23.06.2021","Adoption of revised Integrity Pact (IP) for NHAI Projects- Regarding incorporation of names of IEMs in NITs.","Pending"
"6.1","ADMINISTRATION","20.11.2006","Use of Wide Area Network (WAN) : Information Communication & Technology (ICT) Applications","Pending"
"6.10","ADMINISTRATION","20.11.2006","Use of Wide Area Network (WAN): Information Communication & Technology (ICT) applications","Pending"
"6.11","ADMINISTRATION","21.08.2013","MoRT&H website- steps taken for effective handling and monitoring of queries","Pending"
"6.12","ADMINISTRATION","5.9.2013","Operation of Bill Tracking System (BTS) and Application Tracking System (ATS) at NHAI offices.","Pending"
"6.13","ADMINISTRATION","26.11.2013","IT policy in NHAI- DOs and Donts","Pending"
"6.14","ADMINISTRATION","08.09.2014","Use of Bill Tracking System (BTS) and Application Tracking System (ATS) across all units of NHAI.","Pending"
"6.15","ADMINISTRATION","14.07.2014","Vehicle Tracking System (VTS) with facility of Global Positioning Sytem (GPS) to track ambulance/road patrol vehicles.","Pending"
"6.16","ADMINISTRATION","01.09.2014","Creation and operation of Project Specific website of each PIU.","Pending"
"6.17","ADMINISTRATION","06.02.2015","Digitization of clearance given by NHAI for Fuel Stations;Private Properties;Optical Fibre cables;Gas Pipelines;Water Pipelines;Sewer Lines;over-head High Tension/Electric Lines;etc along National Highway","Pending"
"6.18","ADMINISTRATION","02.06.2015","Effect on e-tendering due to change in service tax","Pending"
"6.19","ADMINISTRATION","16.11.2017","Guidelines for site insepction of projects by ROs and PDs using PMIS App and uploading the site photographs","Pending"
"6.2","ADMINISTRATION","11.04.2007","Procurement of computer hardware and peripherals by the Project Implementation Unit","Pending"
"6.20","ADMINISTRATION","26.06.2019","Mandatory use of Unique Project Code (UPC) on all files/ EC Agenda Items/ proposals/ correspondence within NHAI.","Pending"
"6.21","ADMINISTRATION","06.09.2019","System for Monitoring of NHAI Projects","Pending"
"6.22","ADMINISTRATION","28.01.2020","GATI Portal for faster decisions and Redressal of grievances of Contractors / Concessionaires and consultants.","Pending"
"6.23","ADMINISTRATION","15.09.2020","Submission of bills related to project payments of NHAI through Project Management System (PMS/ Data Lake) Portal.","Pending"
"6.24","ADMINISTRATION","03.11.2020","Communication of Project related correspondences between  Concessionaires/Contractors; AEs/ IEs and NHAI through Project Management Software and Data Lake Portal.","Pending"
"6.25","ADMINISTRATION","30.12.2020","Updation of Project specific information on Project Management Software/Data Lake Portal by AE/IE.","Pending"
"6.26","ADMINISTRATION","11.01.2021","Communication of Project related correspondences between BOT (Toll) Concessionaires; IEs and NHAI through Project Management Software and Data Lake Portal.","Pending"
"6.27","ADMINISTRATION","11.10.2021","Norms for purchase of computer hardware and peripherals at NHAI Field Offices - reg.","Pending"
"6.28","ADMINISTRATION","19.04.2022","Processing of proposals on e-office- reg.","Pending"
"6.29","ADMINISTRATION","19.04.2022","Mandatory use of Unique Project Code (UPC) in all official matter in NHAI -reg.","Pending"
"6.3","ADMINISTRATION","04.06.2007","E-mail policy in NHAI","Pending"
"6.30","ADMINISTRATION","27.04.2022","Hiring of manpower for Data Lake Operations- reg.","Pending"
"6.31","ADMINISTRATION","04.05.2022","Hosting of tenders at e-Procurement Services in NHAI through CPPP Portal of NIC – Reg.","Pending"
"6.32","ADMINISTRATION","22.09.2022","Hiring of IT manpower for Data Lake Operations - reg.","Pending"
"6.33","ADMINISTRATION","18.10.2022","Payment Processing Module on Datalake for submission of bills and processing of all types of payments related to NHAI project (except LA) - reg.","Pending"
"6.34","ADMINISTRATION","09.11.2022","Providing IT assets and internet connectivity for efficient disbursing payments in Bhumi Rashi Portal - reg.","Pending"
"6.35","ADMINISTRATION","09.02.2024","Mandatory Use of Maintenance Module of NHAI ONE Application – reg.","Pending"
"6.36","ADMINISTRATION","29.04.2024","Implementation of NON SFS File Creation in E-Office System – reg.","Pending"
"6.37","ADMINISTRATION","26.10.2024","Engaging IT Support Assistant (erstwhile Data Lake Operator)- reg.","Pending"
"6.38","ADMINISTRATION","08.01.2025","Handling & Processing of E-Files between NHAI HQ – RO - PIUs - reg.","Pending"
"6.39","ADMINISTRATION","08.01.2025","Procedure for Handover/Takeover of E-Office Files & User credentials of Various Portals at the time of transfer during Repatriation / Transfer/ Posting/ Superannuation or Assignment of additional charge-reg.","Pending"
"6.4","ADMINISTRATION","14.07.2009","Norms for issuance/providing of printers to the officers at NHAI headquarters","Pending"
"6.40","ADMINISTRATION","01.04.2025","Payment Processing Module on Data Lake for submission of Bills and Processing of Payments related to Capturing of High-Resolution Imagery through Drones for NHAI Projects - reg.","Pending"
"6.41","ADMINISTRATION","07.04.2025","Implementation of Bridge Inventory and Condition Rating System (BICRS) for Recording Asset and Health of Structures of all Projects - reg.","Pending"
"6.42","ADMINISTRATION","19.06.2025","Procurement of Digital Signature Certificate for NHAI Officers /Officials -reg.","Pending"
"6.5","ADMINISTRATION","14.07.2009","Norms for purchase of computer hardware and peripherals at PIUs.","Pending"
"6.6","ADMINISTRATION","03.03.2011","Road User Complaint;Redressal & Suggestion (RCRSS)","Pending"
"6.7","ADMINISTRATION","24.4.2012","Insertion of clause regarding Digital Signatory in Notice Inviting Tender Document.","Pending"
"6.8","ADMINISTRATION","13.06.2012","Moderation of comments/remarks/opinions made by users on NHAI Facebook","Pending"
"6.9","ADMINISTRATION","28.1.2013","IT policy in NHAI- DOs and Donts","Pending"
"7.1.1","ADMINISTRATION","03.02.2004","Entrustment of stretches","Pending"
